TIP_DOCUM_CLI|COD_DOCUM_CLI
RUC|20163779707
RUC|20163795494
RUC|20164032613
RUC|20165610297
RUC|20165645325
RUC|20165711727
RUC|20165778473
RUC|20165779283
RUC|20166167613
RUC|20166485232
RUC|20166679606
RUC|20166868328
RUC|20166892971
RUC|20166915181
RUC|20167183515
RUC|20167320288
RUC|20167946276
RUC|20167987207
RUC|20168007168
RUC|20168217723
RUC|20168290137
RUC|20168737565
RUC|20168891998
RUC|20169004359
RUC|20169044733
RUC|20170167334
RUC|20170707622
RUC|20170875843
RUC|20170934289
RUC|20171638250
RUC|20171649294
RUC|20172082417
RUC|20172168729
RUC|20172208020
RUC|20172263471
RUC|20172383531
RUC|20172499679
RUC|20173014971
RUC|20174159484
RUC|20174943924
RUC|20175071173
RUC|20175089030
RUC|20175229907
RUC|20175795414
RUC|20175826743
RUC|20175875795
RUC|20176204878
RUC|20176249111
RUC|20176705061
RUC|20176736021
RUC|20177124207
RUC|20177395227
RUC|20177406792
RUC|20177662101
RUC|20178108043
RUC|20178184068
RUC|20178429192
RUC|20178730089
RUC|20178826353
RUC|20180784579
RUC|20181658135
RUC|20181709066
RUC|20182110095
RUC|20183806255
RUC|20183923481
RUC|20183995121
RUC|20183998651
RUC|20184022207
RUC|20184296838
RUC|20184393442
RUC|20184663920
RUC|20184784476
RUC|20185603483
RUC|20185607802
RUC|20185679111
RUC|20185862748
RUC|20186465793
RUC|20188720723
RUC|20189892633
RUC|20190003541
RUC|20190323294
RUC|20191030649
RUC|20191121288
RUC|20191164173
RUC|20191359934
RUC|20191512121
RUC|20192041628
RUC|20192439826
RUC|20192952574
RUC|20193063218
RUC|20193164758
RUC|20193358790
RUC|20193818111
RUC|20193843817
RUC|20193972897
RUC|20194016001
RUC|20194616709
RUC|20194993758
RUC|20195130419
RUC|20197172321
RUC|20197968762
RUC|20198209717
RUC|20198249859
RUC|20198667260
RUC|20199019393
RUC|20199256417
RUC|20199641167
RUC|20199800061
RUC|20199818351
RUC|20199818784
RUC|20199904192
RUC|20200415443
RUC|20201298327
RUC|20201462909
RUC|20201786046
RUC|20202597875
RUC|20202966587
RUC|20203531550
RUC|20204942391
RUC|20205189441
RUC|20205376390
RUC|20205514296
RUC|20205935470
RUC|20206046547
RUC|20206081539
